,is_ambig,is_correct,is_human,is_context_true_first,percent_certainty_of_correct
256,False,True,True,True,0.5660185351961015
257,False,False,True,False,0.43014734858584286
258,False,True,False,False,0.5156199157230156
259,False,False,False,True,0.399811640739795
260,False,True,True,True,0.5964331462646254
261,False,True,False,False,0.5428632831725052
262,False,False,False,True,0.45326184801538616
263,False,False,False,True,0.47657965106367595
264,False,True,False,False,0.6113819732941511
265,False,False,True,False,0.46879062662624377
266,False,True,True,True,0.5078118642792044
267,False,False,True,False,0.4843800842769844
268,False,False,True,False,0.48047867804790706
269,False,True,False,False,0.5964331462646255
270,False,False,True,False,0.40356685373537454
271,False,True,True,True,0.5583269943353745
272,False,True,False,False,0.5467381519846138
273,False,True,True,True,0.519521321952093
274,False,True,True,True,0.5117166047041654
275,False,True,False,False,0.5964331462646255
276,False,True,False,False,0.5964331462646254
277,False,True,True,True,0.5350984286266115
278,False,False,True,True,0.4726834766204328
279,False,True,True,True,0.523420348936324
280,False,False,True,False,0.39233683016710835
281,False,True,False,True,0.5428632831725052
282,False,True,False,False,0.5544704649604273
283,False,True,False,False,0.611381973294151
284,False,True,True,False,0.5467381519846138
285,False,True,True,True,0.5389832206876841
286,False,True,False,False,0.6224593312018546
287,False,True,False,False,0.6584175072643415
288,False,True,True,True,0.5964331462646254
289,False,True,True,True,0.5621765008857982
290,False,False,True,False,0.49218813572079556
291,False,True,True,True,0.5273165233795671
292,False,True,True,True,0.5506073655352404
293,False,True,True,True,0.5312093733737563
294,False,False,False,True,0.44939263446475963
295,False,True,True,True,0.5350984286266115
296,False,False,False,True,0.4263215925474903
297,False,True,True,True,0.5583269943353744
298,False,True,True,True,0.5
299,False,False,True,False,0.4225046348141882
300,False,True,True,True,0.523420348936324
301,False,False,True,False,0.3960681662740417
302,False,True,True,False,0.5117166047041654
303,False,False,True,False,0.4726834766204328
304,False,True,True,True,0.519521321952093
305,False,False,True,False,0.3960681662740417
306,False,True,False,False,0.5350984286266116
307,False,True,True,True,0.5156199157230156
308,False,True,False,True,0.5156199157230156
309,False,False,True,False,0.411110869232168
310,False,True,True,False,0.5774953651858118
311,False,True,True,True,0.5117166047041654
312,False,False,False,True,0.4921881357207956
313,False,True,False,False,0.5851011542032312
314,False,True,False,False,0.5273165233795671
315,False,True,False,False,0.5964331462646254
316,False,True,False,False,0.600188359260205
317,False,False,True,False,0.3629692055196168
318,False,True,False,False,0.5926665999540698
319,False,False,True,True,0.49218813572079556
320,False,True,True,True,0.5078118642792044
321,False,True,False,False,0.5621765008857982
322,False,False,False,False,0.4921881357207956
323,False,True,False,False,0.5774953651858118
324,False,True,False,False,0.6224593171945416
325,False,True,True,True,0.5621765008857981
326,False,True,False,False,0.5851011542032312
327,False,True,True,True,0.5389832206876841
328,False,False,False,False,0.48438008427698437
329,False,True,True,True,0.5350984286266115
330,False,True,False,False,0.5736784074525096
331,False,True,True,True,0.5
332,False,False,True,False,0.41869690935568665
333,False,False,True,False,0.3886180267058489
334,False,True,True,True,0.6001883592602049
335,False,False,False,True,0.39981164073979497
336,False,False,True,False,0.3923368301671084
337,False,False,True,False,0.43398146480389854
338,False,False,True,False,0.38121956625614994
339,False,True,False,True,0.5273165233795672
340,False,True,True,True,0.5506073655352404
341,False,True,True,True,0.5621765008857981
342,False,False,True,False,0.38121956625614994
343,False,False,True,False,0.3960681662740417
344,False,True,False,False,0.5583269943353745
345,False,False,True,True,0.45713671682749485
346,False,True,False,False,0.588889130767832
347,False,True,False,False,0.5621765008857981
348,False,False,True,False,0.4225046348141883
349,False,True,True,True,0.5621765008857981
350,False,True,True,True,0.5350984286266116
351,False,False,False,True,0.4960938294709195
352,False,True,True,False,0.5156199157230157
353,False,False,False,True,0.43398146480389854
354,False,False,True,True,0.4960938294709195
355,False,True,False,False,0.5273165233795671
356,False,False,True,False,0.43398146480389854
357,False,False,True,False,0.399811640739795
358,False,False,True,False,0.4339814648038986
359,False,True,False,False,0.6334102775181399
360,False,True,True,True,0.600188359260205
361,False,False,True,False,0.4571367168274948
362,False,False,True,False,0.43398146480389854
363,False,False,False,True,0.41489884579676883
364,False,False,False,True,0.46490157137338844
365,False,False,True,False,0.46490157137338844
366,False,False,True,True,0.47268347662043286
367,False,True,False,False,0.5428632831725052
